groupMetadataID,vehicleID,Route,driver,operator,experimentID,other.Objective,other.MapVersion,other.Weather_Lighting,other.Weather_Precipitation,other.StackVersion,other.Weather,other.Map,other.Notes
5a4bccf4-effe-11ee-b966-fb353e7798cd,Van1,Red,3,2,1696352389,Single Vehicle,V4,Clear,No precipitation,1.2.4,,,
2f95c748-f009-11ee-b966-fb353e7798cd,Van1,Red,1,2,1696354925,Single Vehicle,V4,Clear,No precipitation,1.2.4,,,
fcc6fcd2-f013-11ee-b966-fb353e7798cd,Van1,Red,1,2,1696357557,Single Vehicle,V4,Clear,No precipitation,1.2.4,,,
51ef6da6-ca9f-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,19,,,,,,"80 F, clear, dry",ohio_athens_red_v4,"Ran route with max speed of 55, too fast on some sections"
14b6bc9c-f064-11ee-b998-fb353e7798cd,Van1,Green,3,2,1696513206,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
25e27b86-f06a-11ee-b9a3-fb353e7798cd,Van1,Green,3,2,1696516109,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
c2f54552-f06f-11ee-b9a9-fb353e7798cd,Van1,Green,3,1,1696517463,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
c4146d46-f074-11ee-b9ac-fb353e7798cd,Van1,Green,3,2,1696527185,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
c1b320e2-f079-11ee-b9b0-fb353e7798cd,Van1,Green,3,2,1696528998,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
a6539bd2-cb72-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,20,,,,,,"83 F, overcast, dry",ohio_athens_green_v4.35,issues at second stop sign causing harsh breaking when rengaging; van stopped completely before resuming route
ba87f3ec-f07e-11ee-b9b4-fb353e7798cd,Van1,Green,3,2,1696532836,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
3d8020aa-cb7f-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,21,,,,,,"83 F, overcast, dry",ohio_athens_green_v4.35,OU van followed TRC; only 1 disengage to allow safety truck space
7f09f6c6-a5b0-11ee-88ec-eb6a8d5269b4,OUPacifica,,2,,22,,,,,,"61 F, partially cloudy, dry roads",ohio_athens_blue_v4,Issues on court street with vehicles parted on side of road
8437f77a-cab7-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,23,,,,,,"61 F, partially cloudy, dry roads",ohio_athens_red_v4,GNSS issues on back half of route causing 1m STD; car cut off safety truck causing manual takeover for safety concerns
cf6fdf3a-eaa3-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1696956495,Single Vehicle,V3,Clear,No precipitation,1.2.4,,,
f43b6a70-f01e-11ee-b966-fb353e7798cd,Van1,Red,3,2,1696959404,Single Vehicle,V4,Clear,No precipitation,1.2.4,,,
457dc5ee-f02a-11ee-b966-fb353e7798cd,Van1,Red,3,2,1696962630,Single Vehicle,V4,Clear,No precipitation,1.2.4,,,
271fee10-cb8b-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,24,,,,,,"76 F, clear skies, dry road ",ohio_athens_Green_v4.35,only 1 takeover before first stop sign due to high GNSS STD and van nearing edge of road
b31aca98-cb95-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,25,,,,,,"76 F, clear skies, dry road",ohio_athens_Green_v4.35,Didn't detect truck while stationary at around 100ft away; 1 takeover at 2nd stop sign due to truck incident
f671c05c-a5e4-11ee-88ec-eb6a8d5269b4,OUPacifica,,2,,26,,,,,,"54 F, cloudy, dry roads",ohio_athens_blue_v4a,Predicted path of cars making right turn caused van to stop at green light; GNSS issues on back road by plains
853ef120-cad3-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,27,,,,,,"54 F, cloudy, dry roads",ohio_athens_red_v4,Van riding center line of road causing multiple takeovers due to poor GNSS
2a61b8a8-f528-11ee-8afa-cb629b0d53e6,Van2,Red,3,2,1697559721,Single Vehicle,V4,Mostly Cloudy,No precipitation,1.2.4,,,
41b67a28-f52f-11ee-8afa-cb629b0d53e6,Van2,Red,3,2,1697562875,Single Vehicle,V4,Mostly Cloudy,No precipitation,1.2.4,,,
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,Van2,Red,3,2,1697569600,Single Vehicle,V4,Mostly Cloudy,No precipitation,1.2.4,,,
96f7a614-f549-11ee-8afa-cb629b0d53e6,Van2,Red,3,2,1697572375,Single Vehicle,V4,Mostly Cloudy,No precipitation,1.2.4,,,
90101c36-a621-11ee-88ec-eb6a8d5269b4,OUPacifica,,2,,28,,,,,,"61 F, Mostly Cloudy, Dry Road",ohio_athens_Blue_v4a,Crashed uptown after or during manual takeover for vehicle pulling out of parking in front of van. 
d12cd1c4-caec-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,29,,,,,,"61 F, Mostly Cloudy, dry road",ohio_athens_Red_v4,Followed by state trooper for almost half of route that pulled between safety vehicle and van. Manual takeover due to tailgating from trooper vehicle
aef91c4a-ede5-11ee-9385-ef789ffde1d3,Van2,Blue,3,2,1697724037,Single Vehicle,V3,Cloudy,No precipitation,1.2.4,,,
513a670c-eea9-11ee-9385-ef789ffde1d3,Van2,Blue,3,2,1697730205,Single Vehicle,V3,Mostly Cloudy,No precipitation,1.2.4,,,
ed352100-cba0-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,30,,,,,,"69 F, Cloudy, Dry road",ohio_athens_green_v4.35,No Takeovers
072ef896-cbac-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,31,,,,,,"69 F, Cloudy, Dry road",ohio_athens_green_v4.35,takeovers due to van riding edge of road
559495ca-d270-11ee-b437-336917683bb8,OUPacifica,,2,,32,,,,,,"65 F, clear, dry roads",ohio_athens_blue_v4a,"Best court street run so far, had to take over for semi taking up road on third stop light"
c338788a-d324-11ee-b437-336917683bb8,OUPacifica,,2,,33,,,,,,"65 F, Clear, Dry Roads",ohio_athens_red_v4,"Normal red route problems, driving too close to edgeline"
621c07b8-eaaf-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1698160509,Single Vehicle Shadow Mode,V3,Clear,No precipitation,1.2.4,,,
6458c26e-eab9-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1698164674,Single Vehicle Shadow Mode,V3,Clear,No precipitation,1.2.4,,,
81acf35c-eac4-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1698167491,Single Vehicle Shadow Mode,V3,Clear,No precipitation,1.2.4,,,
baec243e-eacf-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1698169490,Single Vehicle Shadow Mode,V3,Clear,No precipitation,1.2.4,,,
feaf2ba8-d28d-11ee-b437-336917683bb8,OUPacifica,,2,,34,,,,,,"71 F, partly cloudy, dry road",ohio_athens_Blue_v4a,682 and union turn too wide
c9c6856c-d33c-11ee-b437-336917683bb8,OUPacifica,,2,,35,,,,,,"71 F, partly cloudy, dry road",ohio_athens_red_v4,"first light not visible, takeovers due to riding edge of lane"
787f70da-f036-11ee-b966-fb353e7798cd,Van1,Red,3,2,1698334427,Single Vehicle Shadow Mode,V4,Cloudy,No precipitation,1.2.4,,,
6daff50c-f041-11ee-b972-fb353e7798cd,Van1,Red,2,1,1698336678,Single Vehicle Shadow Mode,Red,Mostly Cloudy,No precipitation,1.2.4,,,
23a7aa3e-f048-11ee-b97d-fb353e7798cd,Van1,Red,2,1,1698339871,Single Vehicle Shadow Mode,V4,Partly Cloudy,No precipitation,1.2.4,,,
ef63db62-f051-11ee-b986-fb353e7798cd,Van1,Red,2,1,1698341985,Single Vehicle Shadow Mode,V4,Partly Cloudy,No precipitation,1.2.4,,,
48021fe0-f05c-11ee-b992-fb353e7798cd,Van1,Red,2,1,1698344425,Single Vehicle Shadow Mode,V4,Mostly Cloudy,No precipitation,1.2.4,,,
3c415ade-d353-11ee-b437-336917683bb8,OUPacifica,,2,,36,,,,,,"73 F, Scattered clouds, dry roads",ohio_athens_green_v4.35,no takeover
88b0613a-d35d-11ee-b437-336917683bb8,OUPacifica,,2,,37,,,,,,"72 F, Scattered clouds, dry roads",ohio_athens_green_v4.35,no takeover
05d0240e-eadb-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1698766201,Single Vehicle Shadow Mode,V3,Partly Cloudy,No precipitation,1.2.4,,,
d54c11ca-eae5-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1698770052,Single Vehicle Shadow Mode,V3,Mostly Cloudy,No precipitation,1.2.4,,,
23765aa8-eaf1-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1698773934,Single Vehicle Shadow Mode,V3,Mostly Cloudy,No precipitation,1.2.4,,,
f93290be-eafe-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1698778736,Single Vehicle Shadow Mode,V3,Mostly Cloudy,No precipitation,1.2.4,,,
bb52690a-f066-11ee-b99e-fb353e7798cd,Van1,Red,3,2,1698781194,Single Vehicle Shadow Mode,V4,Partly Cloudy,No precipitation,1.2.4,,,
879e3fa2-f085-11ee-b9bd-fb353e7798cd,Van1,Green,3,2,1698939039,Single Vehicle Shadow Mode,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
a2ed8b42-f089-11ee-b9c3-fb353e7798cd,Van1,Green,3,2,1698940788,Single Vehicle Shadow Mode,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
b6227b56-f08d-11ee-b9c9-fb353e7798cd,Van1,Green,3,3,1698942399,Map Verification,V4.45r,Partly Cloudy,No precipitation,1.2.4,,,
d1a3a310-f091-11ee-b9ce-fb353e7798cd,Van1,Green,3,2,1698944496,Pre-deployment,V4.45,Clear,No precipitation,1.2.4,,,
878e1a02-f092-11ee-b9cf-fb353e7798cd,Van1,Green,3,2,1698945333,Map Verification,V4.45,Clear,No precipitation,1.2.4,,,
e640cf0a-f096-11ee-b9d5-fb353e7798cd,Van1,Green,3,2,1698949425,Single Vehicle Shadow Mode,4.45,Clear,No precipitation,1.2.4,,,
079f0d30-eb09-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1699373131,Single Vehicle Shadow Mode,V3,Mostly Cloudy,No precipitation,1.2.4,,,
bcf44e58-eb0d-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1699377156,Single Vehicle Shadow Mode,V3,Mostly Cloudy,No precipitation,1.2.4,,,
e9e14d3a-eb17-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1699379931,Single Vehicle Shadow Mode,V3,Partly Cloudy,No precipitation,1.2.4,,,
599673dc-f070-11ee-b9a9-fb353e7798cd,Van1,Red,3,2,1699382954,Single Vehicle Shadow Mode,V4,Clear,No precipitation,1.2.4,,,
26af7004-f07a-11ee-b9b2-fb353e7798cd,Van1,Red,3,2,1699385598,Single Vehicle Shadow Mode,V4,Clear,No precipitation,1.2.4,,,
5230b9be-f083-11ee-b9b8-fb353e7798cd,Van1,Red,3,2,1699388000,Single Vehicle Shadow Mode,V4,Clear,No precipitation,1.2.4,,,
31b48540-f09b-11ee-b9da-fb353e7798cd,Van1,Green,3,2,1699545317,Single Vehicle Shadow Mode,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
2c8690b4-f09f-11ee-b9de-fb353e7798cd,Van1,Green,3,2,1699546813,Single Vehicle Shadow Mode,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
00ff88b6-f0a3-11ee-b9e3-fb353e7798cd,Van1,Green,3,2,1699548107,Single Vehicle Shadow Mode,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
900701bc-f0a6-11ee-b9e4-fb353e7798cd,Van1,Green,3,2,1699549402,Single Vehicle Shadow Mode,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
41cd65b4-f0aa-11ee-b9e8-fb353e7798cd,Van1,Green,3,2,1699550517,Single Vehicle Shadow Mode,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,Van1,Green,3,2,1699555006,Single Vehicle Shadow Mode,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
7aa336e6-f0b1-11ee-b9ed-fb353e7798cd,Van1,Green,3,2,1699556353,Single Vehicle Shadow Mode,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
56b8baa4-f0b5-11ee-b9f0-fb353e7798cd,Van1,Green,3,2,1699557214,Single Vehicle Shadow Mode,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
471890c0-f0b9-11ee-b9f5-fb353e7798cd,Van1,Green,3,4,1699981669,Map Verification,V4.35,Clear,No precipitation,1.2.4,,,
6c415180-f0bd-11ee-b9fa-fb353e7798cd,Van1,Green,3,4,1699983214,Map Verification,V4.35,Clear,No precipitation,1.2.4,,,
3b6d2a5c-f0c2-11ee-ba01-fb353e7798cd,Van1,Green,3,4,1699984623,Map Verification,V4.35,Clear,No precipitation,1.2.4,,,
781c0bcc-eb21-11ee-b297-3b0ad9d5d6c6,Van1,Blue,2,4,1699990938,Single Vehicle Shadow Mode,V3,Clear,No precipitation,1.2.4,,,
593d4b54-d0a9-11ee-9435-f7e542e2436c,Van1,Blue,3,4,1699993490,Single Vehicle Shadow Mode,V3,Clear,No precipitation,1.2.4,,,
4bbe3c64-f088-11ee-b9c3-fb353e7798cd,Van1,Red,3,4,1700151609,Single Vehicle Shadow Mode,V4,Clear,No precipitation,1.2.4,,,
5c2ad8ec-f08c-11ee-b9c8-fb353e7798cd,Van1,Red,3,4,1700154305,Single Vehicle Shadow Mode,V4,Clear,No precipitation,1.2.4,,,
6c5f7416-f096-11ee-b9d4-fb353e7798cd,Van1,Red,3,4,1700157378,Single Vehicle Shadow Mode,V4,Clear,No precipitation,1.2.4,,,
ede139be-f098-11ee-b9d8-fb353e7798cd,Van1,Red,3,4,1700159117,Single Vehicle Shadow Mode,V4,Partly Cloudy,No precipitation,1.2.4,,,
dbff355c-f0a2-11ee-b9e3-fb353e7798cd,Van1,Red,3,4,1700163302,Single Vehicle Shadow Mode,V4,Clear,No precipitation,1.2.4,,,
d4b936f6-eb36-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,4,1700496073,Single Vehicle Shadow Mode,V3,Cloudy,No precipitation,1.2.4,,,
cc0299e6-eb3e-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,4,1700501626,Single Vehicle Shadow Mode,V3,Cloudy,No precipitation,1.2.4,,,
60c57e4e-eb4a-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,4,1700504139,Single Vehicle Shadow Mode,V3,Cloudy,No precipitation,1.2.4,,,
54a02cb8-eb4f-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,4,1700511459,Single Vehicle Shadow Mode,V3,Cloudy,No precipitation,1.2.4,,,
eb22edf4-f0ab-11ee-b9e9-fb353e7798cd,Van1,Red,3,4,1700582322,Single Vehicle Shadow Mode,V4,Cloudy,No precipitation,1.2.4,,,
d1d69a76-f0b5-11ee-b9f0-fb353e7798cd,Van1,Red,3,4,1700584695,Single Vehicle Shadow Mode,V4,Cloudy,Rain,1.2.4,,,
906d3c4e-f0be-11ee-b9fb-fb353e7798cd,Van1,Red,3,4,1700586898,Single Vehicle Shadow Mode,V4,Cloudy,Rain,1.2.4,,,
2bb03aaa-f0c7-11ee-ba06-fb353e7798cd,Van1,Red,3,4,1700592077,Single Vehicle Shadow Mode,V4,Cloudy,Light Rain,1.2.4,,,
a437811e-ccf4-11ee-9435-f7e542e2436c,Van2,Green,3,4,1701070980,Single Vehicle Shadow Mode,V4.45,Cloudy,No precipitation,1.2.4,,,
fe729430-f232-11ee-bb32-fb353e7798cd,Van2,Green,3,4,1701192784,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
4cf81634-f238-11ee-bb34-fb353e7798cd,Van2,Green,3,2,1701194185,Pre-deployment,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
e9a1d768-f23d-11ee-bb39-fb353e7798cd,Van2,Green,3,2,1701195386,Single Vehicle,V4.45,Mostly Cloudy,Flurries,1.2.4,,,
f8fd0fd8-f243-11ee-bb3f-fb353e7798cd,Van2,Green,3,2,1701196779,Single Vehicle,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
58d78342-f24a-11ee-bb45-fb353e7798cd,Van2,Green,3,2,1701198151,Single Vehicle,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
25135418-f250-11ee-bb4a-fb353e7798cd,Van2,Green,3,2,1701199673,Single Vehicle,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
cbdc93f4-f255-11ee-bb4e-fb353e7798cd,Van2,Green,3,2,1701203037,Single Vehicle,V4.45,Mostly Cloudy,No precipitation,1.2.4,,,
de226278-f25a-11ee-bb4e-fb353e7798cd,Van2,Green,3,2,1701204159,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.4,,,
81a5a96e-f0c6-11ee-ba06-fb353e7798cd,Van1,Green,3,4,1701360201,Pre-deployment,V4.45,Clear,No precipitation,1.2.4,,,
8be24d52-f0ca-11ee-ba0a-fb353e7798cd,Van1,Green,3,4,1701363998,Pre-deployment,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
ba80ba8c-f0ce-11ee-ba0d-fb353e7798cd,Van1,Green,3,4,1701366125,Pre-deployment,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
240ebe64-f0d3-11ee-ba14-fb353e7798cd,Van1,Green,3,4,1701370372,Pre-deployment,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,Van1,Green,3,2,1701371909,Single Vehicle,V4.45,Partly Cloudy,No precipitation,1.2.4,,,
70060810-eb59-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,4,1701803039,Single Vehicle,V3,Cloudy,Light Rain,1.3.1,,,
dd72fdec-f0cf-11ee-ba0d-fb353e7798cd,Van1,Red,1,4,1701805296,Single Vehicle,V4,Cloudy,Light Rain,1.3.1,,,
